Nivel do Usuario,Faixa de XP,Beneficios Desbloqueados,Como Ganhar XP
Explorador I,0 a 150,"Acesso completo ao aplicativo do Mercado Central 24h, criação de lista de compras favoritas e notificações de promoções da loja mais próxima.","Criar conta no aplicativo, completar 100% do perfil (nome, endereço, preferências alimentares) e confirmar o e-mail de boas-vindas."
Explorador II,151 a 350,"Todos os benefícios do Explorador I, mais 1 frete grátis por mês em pedidos de delivery acima de R$ 50 e acesso antecipado de 2 horas às ofertas relâmpago do fim de semana.","Realizar a primeira compra pelo aplicativo ou na loja física, e avaliar pelo menos 1 produto comprado."
Explorador III,351 a 500,"Todos os benefícios anteriores, mais cupom de 5% de desconto na próxima compra ao completar o cadastro de aniversário e prioridade na fila de atendimento do SAC via chat.","Realizar compras em pelo menos 2 categorias diferentes (ex: hortifruti e padaria) e cadastrar a data de aniversário no aplicativo."
Estrategista I,501 a 1000,"Todos os benefícios do Explorador III, mais ofertas antecipadas no celular 24 horas antes da divulgação geral e uso do caixa rápido exclusivo na loja física.","Comprar em 3 categorias diferentes de produtos ao longo do mês."
Estrategista II,1001 a 1500,"Todos os benefícios anteriores, mais frete grátis ilimitado aos sábados e acúmulo de XP em dobro em compras acima de R$ 150.","Comprar em 5 categorias diferentes ou usar sacola retornável em pelo menos 4 compras no mês."
Estrategista III,1501 a 2000,"Todos os benefícios anteriores, mais acesso ao 'Clube de Receitas Central' com sugestões personalizadas baseadas no histórico de compras e brinde surpresa na loja a cada 90 dias.","Manter frequência de compra semanal por 4 semanas consecutivas e indicar 1 novo cliente que complete o cadastro."
Mestre 24h I,2001 a 3000,"Todos os benefícios do Estrategista III, mais desconto fixo de 5% nas compras realizadas de madrugada (01h às 05h) e frete delivery grátis ilimitado em qualquer horário.","Fazer pelo menos 2 compras entre 01h e 05h da manhã no mês, ou bater a meta semanal de XP definida no aplicativo."
Mestre 24h II,3001 a 4000,"Todos os benefícios anteriores, mais um voucher mensal de R$ 20 em produtos de padaria e açougue, e acesso a estacionamento reservado nas lojas físicas participantes.","Bater a meta semanal de XP por 3 semanas seguidas e concluir pelo menos 1 avaliação de produto por semana."
Mestre 24h III,4001 a 5000,"Todos os benefícios anteriores, mais convite para eventos de degustação exclusivos de novos fornecedores e cashback de 2% em todas as compras acima de R$ 100.","Manter consistência de compras semanais por 2 meses seguidos e completar o desafio mensal de categoria dupla (2 categorias na mesma compra)."
Lenda Central I,5001 a 7500,"Todos os benefícios do Mestre 24h III, mais acesso VIP a degustações na loja, brindes surpresa mensais e suporte prioritário no aplicativo com atendimento em até 5 minutos.","Manter compras semanais consistentes por 3 meses e completar pelo menos 2 desafios do bairro (missões sazonais divulgadas no app)."
Lenda Central II,7501 a 10000,"Todos os benefícios anteriores, mais um consultor pessoal de compras disponível via chat para montar a lista da semana e cashback elevado para 3% em todas as compras.","Completar 4 desafios do bairro ao longo do trimestre e indicar 2 novos clientes que atinjam o nível Estrategista."
Lenda Central III,Acima de 10000,"Todos os benefícios anteriores, mais convite anual para o evento fechado 'Central Experience', acesso antecipado de 48 horas a todos os lançamentos de produtos e cashback máximo de 5%.","Manter o status de Lenda Central por 6 meses consecutivos sem queda de faixa de XP no período."
Nível Especial: Cliente VIP Central,Convite exclusivo (não depende de XP),"Cartão físico personalizado, atendimento telefônico dedicado 24 horas, entrega prioritária garantida em até 2 horas e acesso a um estoque reservado de produtos sazonais de alta demanda.","Este nível não é alcançado por acúmulo de XP: é concedido por convite da diretoria de relacionamento a clientes com histórico de compra excepcional ou em parceria institucional com a empresa."
Nível Especial: Embaixador Central,Baseado no Programa de Indicação (paralelo ao XP),"Comissão em créditos de loja equivalente a 5% do valor da primeira compra de cada indicado, selo de Embaixador visível no perfil do aplicativo e convite para testar produtos antes do lançamento oficial.","Indicar ativamente novos clientes através do código pessoal de indicação disponível no aplicativo; o status é mantido enquanto houver pelo menos 1 indicação ativa a cada 60 dias."
